id,name,height,weight,genus,description
520,Tranquill,6.00,150.00,Wild Pigeon Pokemon,"No matter where in the world it goes, it knows
where its nest is, so it never gets separated from
its Trainer."
521,Unfezant,12.00,290.00,Proud Pokemon,"Males have plumage on their heads. They will never
let themselves feel close to anyone other than
their Trainers."
522,Blitzle,8.00,298.00,Electrified Pokemon,"Its mane shines when it discharges electricity.
They use the frequency and rhythm of these flashes
to communicate."
523,Zebstrika,16.00,795.00,Thunderbolt Pokemon,"They have lightning-like movements.
When Zebstrika run at full speed, the sound of
thunder reverberates."
524,Roggenrola,4.00,180.00,Mantle Pokemon,"The hexagonal cavity is its ear. It walks in the
direction of sounds it hears, but if the sounds
cease, it panics and topples over."
525,Boldore,9.00,1020.00,Ore Pokemon,"It explores caves in search of underground
water. Itâ€™s not comfortable around water, so
this Pokemon takes great care in lapping it up."
526,Gigalith,17.00,2600.00,Compressed Pokemon,"Known for its hefty horsepower, this Pokemon
is a popular partner for construction workers."
527,Woobat,4.00,21.00,Bat Pokemon,"The heart-shaped mark left on a body after a
Woobat has been attached to it is said to bring
good fortune."
528,Swoobat,9.00,105.00,Courting Pokemon,"Anyone who comes into contact with the ultrasonic
waves emitted by a courting male experiences a
positive mood shift."
529,Drilbur,3.00,85.00,Mole Pokemon,"By spinning its body, it can dig straight through the
ground at a speed of 30 mph."
530,Excadrill,7.00,404.00,Subterrene Pokemon,"More than 300 feet below the surface, they build
mazelike nests. Their activity can be destructive to
subway tunnels."
531,Audino,11.00,310.00,Hearing Pokemon,"It touches others with the feelers on its ears, using
the sound of their heartbeats to tell how they
are feeling."
532,Timburr,6.00,125.00,Muscular Pokemon,"Always carrying squared logs, they help out with
construction. As they grow, they carry bigger logs."
533,Gurdurr,12.00,400.00,Muscular Pokemon,"This Pokemon is so muscular and strongly built that
even a group of wrestlers could not make it budge
an inch."
534,Conkeldurr,14.00,870.00,Muscular Pokemon,"Rather than rely on force, they master moves that
utilize the centrifugal force of spinning concrete."
535,Tympole,5.00,45.00,Tadpole Pokemon,"By vibrating its cheeks, it emits sound waves
imperceptible to humans. It uses the rhythm of
these sounds to talk."
536,Palpitoad,8.00,170.00,Vibration Pokemon,"It lives in the water and on land. It uses its long,
sticky tongue to immobilize its opponents."
537,Seismitoad,15.00,620.00,Vibration Pokemon,"They shoot paralyzing liquid from their head bumps.
They use vibration to hurt their opponents."
538,Throh,13.00,555.00,Judo Pokemon,"When it encounters a foe bigger than itself, it wants
to throw it. It changes belts as it gets stronger."
539,Sawk,14.00,510.00,Karate Pokemon,"Tying their belts gets them pumped and makes their
punches more destructive. Disturbing their training
angers them."
540,Sewaddle,3.00,25.00,Sewing Pokemon,"Since this Pokemon makes its own clothes out of
leaves, it is a popular mascot for fashion designers."
541,Swadloon,5.00,73.00,Leaf-Wrapped Pokemon,"It protects itself from the cold by wrapping up in
leaves. It stays on the move, eating leaves
in forests."
542,Leavanny,12.00,205.00,Nurturing Pokemon,"It keeps its eggs warm with heat from fermenting
leaves. It also uses leaves to make warm wrappings
for Sewaddle."
543,Venipede,4.00,53.00,Centipede Pokemon,"Its bite injects a potent poison, enough to paralyze
large bird Pokemon that try to prey on it."
544,Whirlipede,12.00,585.00,Curlipede Pokemon,"It is usually motionless, but when attacked,
it rotates at high speed and then crashes into
its opponent."
545,Scolipede,25.00,2005.00,Megapede Pokemon,"With quick movements, it chases down its foes,
attacking relentlessly with its horns until it prevails."
546,Cottonee,3.00,6.00,Cotton Puff Pokemon,"Pillows and beds stuffed with cotton exhaled
by Cottonee are soft and puffy, light and airyâ€”
altogether top quality."
547,Whimsicott,7.00,66.00,Windveiled Pokemon,"This Pokemon appears, riding upon the wind.
But if the wind gusts up, itâ€™ll blow the cotton on
this Pokemonâ€™s head clean off."
548,Petilil,5.00,66.00,Bulb Pokemon,"By pruning the leaves on its head with
regularity, this Pokemon can be grown into a
fine plump shape."
549,Lilligant,11.00,163.00,Flowering Pokemon,"As soon as it finds a male to be its partner,
the beautiful flower on its head darkens,
droops, and withers away."
550,Basculin,10.00,180.00,Hostile Pokemon,"Red and blue Basculin usually do not get along,
but sometimes members of one school mingle with
the otherâ€™s school."
551,Sandile,7.00,152.00,Desert Croc Pokemon,"It conceals itself in the sand and chomps down
on the legs of any prey that unwarily walk over
it. Its favorite food is Trapinch."
552,Krokorok,10.00,334.00,Desert Croc Pokemon,"Thanks to the special membrane covering its
eyes, it can see its surroundings clearly, even in
the middle of the night."
553,Krookodile,15.00,963.00,Intimidation Pokemon,"After clamping down with its powerful jaws,
it twists its body around to rip its prey in half."
